block_height,tx_count,utxo_consumed,utxo_produced,pools_registered,pools_unregistered,accounts_registered,accounts_unregistered,accounts_pool_delegated,accounts_drep_delegated,accounts_touched,dreps_registered,dreps_unregistered,committee,withdrawals,proposals,votes
13586560,3,4,4,0,0,0,1,0,0,1,0,0,0,2,0,1
13586561,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
13586562,30,74,62,0,0,0,0,0,1,1,0,0,0,4,0,0
13586563,7,21,18,0,0,0,0,0,0,0,0,0,0,2,0,0
13586564,11,33,36,0,0,0,1,0,0,1,0,0,0,1,0,1
13586565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586566,11,32,41,0,0,0,0,0,0,0,0,0,0,2,0,0
13586567,12,24,31,0,0,1,0,2,1,2,0,0,0,2,0,0
13586568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586569,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
13586570,4,15,9,0,0,0,0,0,0,0,0,0,0,2,0,0
13586571,9,18,29,0,0,0,0,0,0,0,0,0,0,1,0,0
13586572,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
13586573,4,10,11,0,0,0,0,0,0,0,0,0,0,2,0,0
13586574,6,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0
13586575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586576,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
13586577,8,14,19,0,0,0,0,1,0,1,0,0,0,0,0,0
13586578,12,62,27,0,0,0,0,0,0,0,0,0,0,0,0,0
13586579,2,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0
13586580,7,14,20,0,0,0,0,0,0,0,0,0,0,1,0,0
13586581,3,6,7,0,0,0,0,0,0,0,0,0,0,1,0,0
13586582,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
13586583,10,20,24,0,0,0,0,0,0,0,0,0,0,2,0,0
13586584,4,22,8,0,0,0,0,0,0,0,0,0,0,2,0,0
13586585,4,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0
13586586,2,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0
13586587,5,11,17,0,0,0,0,0,0,0,0,0,0,1,0,0
13586588,6,16,17,0,0,0,0,0,0,0,0,0,0,2,0,0
13586589,22,43,48,0,0,0,0,0,0,0,0,0,0,0,0,0
13586590,4,13,12,0,0,0,0,0,0,0,0,0,0,1,0,0
13586591,9,46,29,0,0,0,0,1,0,1,0,0,0,1,0,0
13586592,5,13,8,0,0,0,0,1,2,2,0,0,0,0,0,0
13586593,11,21,28,0,0,0,0,0,0,0,0,0,0,1,0,0
13586594,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13586595,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
13586596,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
13586597,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0
13586598,2,4,5,0,0,1,0,1,1,1,0,0,0,0,0,0
13586599,3,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0
13586600,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13586601,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13586602,11,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0
13586603,4,10,7,0,0,0,0,0,0,0,0,0,0,1,0,0
13586604,11,23,22,0,0,1,0,2,1,2,0,0,0,1,0,0
13586605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586606,3,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0
13586607,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13586608,3,8,10,0,0,0,0,0,1,1,0,0,0,0,0,0
13586609,5,28,12,0,0,0,0,0,0,0,0,0,0,2,0,0
13586610,6,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0
13586611,15,36,31,0,0,2,0,2,2,2,0,0,0,1,0,0
13586612,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13586613,2,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13586614,21,52,42,0,0,0,0,0,4,4,0,0,0,1,0,0
13586615,6,13,15,0,0,0,0,0,0,0,0,0,0,1,0,0
13586616,9,20,24,0,0,0,0,0,1,1,0,0,0,1,0,0
13586617,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13586618,7,22,18,0,0,0,0,0,0,0,0,0,0,2,0,0
13586619,10,40,23,0,0,0,0,0,0,0,0,0,0,2,0,0
13586620,5,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0
13586621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586622,3,10,9,0,0,0,0,0,0,0,0,0,0,1,0,0
13586623,20,67,47,0,0,0,1,0,0,1,0,0,0,4,0,0
13586624,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13586625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586626,4,14,11,0,0,0,0,0,0,0,0,0,0,1,0,0
13586627,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0
13586628,2,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0
13586629,7,31,13,0,0,0,0,0,0,0,0,0,0,2,0,0
13586630,2,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0
13586631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586632,3,8,4,0,0,1,0,1,0,1,0,0,0,0,0,0
13586633,5,8,9,0,0,0,0,0,1,1,0,0,0,0,0,0
13586634,18,35,36,0,0,0,0,0,0,0,0,0,0,2,0,0
13586635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586636,20,32,39,0,0,0,1,0,0,1,0,0,0,4,0,0
13586637,3,6,6,0,0,0,1,0,0,1,0,0,0,1,0,0
13586638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586639,3,6,5,0,0,0,0,0,1,1,0,0,0,1,0,0
13586640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586641,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13586642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586644,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
13586645,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
13586646,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13586647,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
13586648,4,3,4,0,0,0,0,0,1,1,0,0,0,1,0,0
13586649,4,32,11,0,0,0,0,0,0,0,0,0,0,0,0,0
13586650,13,24,47,0,0,0,0,0,2,2,0,0,0,2,0,0
13586651,13,19,36,0,0,1,0,1,1,1,0,0,0,1,0,0
13586652,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
13586653,14,51,33,0,0,0,0,0,0,0,0,0,0,1,0,0
13586654,5,12,12,0,0,0,0,0,1,1,0,0,0,1,0,0
13586655,5,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0
13586656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586657,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13586658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586659,4,6,7,0,0,0,1,0,0,1,0,0,0,1,0,0
13586660,5,32,11,0,0,0,0,0,1,1,0,0,0,2,0,0
13586661,19,76,64,0,0,1,0,1,1,1,0,0,0,3,0,0
13586662,14,44,61,0,0,0,0,0,0,0,0,0,0,4,0,0
13586663,5,22,18,0,0,0,0,0,0,0,0,0,0,1,0,0
13586664,12,131,30,0,0,0,0,0,0,0,0,0,0,3,0,0
13586665,20,175,81,0,0,0,0,0,0,0,0,0,0,2,0,0
13586666,4,109,9,0,0,0,0,0,0,0,0,0,0,1,0,0
13586667,21,50,63,0,0,0,0,1,0,1,0,0,0,4,0,0
13586668,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13586669,7,24,28,0,0,0,0,0,0,0,0,0,0,1,0,0
13586670,8,26,25,0,0,0,0,0,0,0,0,0,0,2,0,0
13586671,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
13586672,16,158,50,0,0,0,0,0,0,0,0,0,0,2,0,0
13586673,12,24,30,0,0,0,0,0,0,0,0,0,0,3,0,0
13586674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13586675,17,33,43,0,0,0,0,0,0,0,0,0,0,4,0,0
13586676,4,10,11,0,0,0,0,0,0,0,0,0,0,2,0,0
13586677,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13586678,7,27,21,0,0,0,0,0,0,0,0,0,0,3,0,0
13586679,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
13586680,9,23,21,0,0,0,0,0,0,0,0,0,0,2,0,0
13586681,5,21,26,0,0,0,0,0,0,0,0,0,0,2,0,0
13586682,8,14,18,0,0,1,0,1,2,2,0,0,0,2,0,0
13586683,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
